Emotion,Channels,Accuracy,Balanced Accuracy,Precision,Recall,F1-Score,ROC-AUC,Window Accuracy
Valence,32,0.5536,0.5372,0.552,0.8243,0.6612,0.5309,0.5202
Valence,16,0.5357,0.5305,0.5542,0.6216,0.586,0.5306,0.5159
Valence,8,0.5464,0.5292,0.5467,0.8311,0.6595,0.5005,0.5128
Valence,4,0.5321,0.5243,0.5475,0.6622,0.5994,0.5329,0.5149
Arousal,32,0.5286,0.4833,0.5546,0.8354,0.6667,0.4774,0.5286
Arousal,16,0.45,0.4566,0.5161,0.4051,0.4539,0.4685,0.471
Arousal,8,0.4643,0.4506,0.5238,0.557,0.5399,0.4874,0.494
Arousal,4,0.5143,0.4874,0.5556,0.6962,0.618,0.5095,0.5313
Dominance,32,0.5143,0.5097,0.6301,0.5287,0.575,0.4827,0.4986
Dominance,16,0.4071,0.3939,0.527,0.4483,0.4845,0.4088,0.4697
Dominance,8,0.3286,0.41,0.325,0.0747,0.1215,0.3491,0.3869
Dominance,4,0.4536,0.4516,0.5755,0.4598,0.5112,0.3996,0.4577
Liking,32,0.5714,0.4725,0.6208,0.8371,0.7129,0.4458,0.5561
Liking,16,0.5786,0.4969,0.6339,0.7978,0.7065,0.5377,0.5563
Liking,8,0.5679,0.4738,0.6213,0.8202,0.707,0.4982,0.572
Liking,4,0.5643,0.4647,0.6167,0.8315,0.7081,0.4823,0.5388
