Emotion,Rank,Channel,Importance
Valence,1,5,0.037336
Valence,2,15,0.034895
Valence,3,13,0.034412
Valence,4,23,0.034329
Valence,5,29,0.033995
Valence,6,3,0.033891
Valence,7,19,0.033835
Valence,8,28,0.033298
Valence,9,0,0.03305
Valence,10,18,0.03294
Valence,11,31,0.032578
Valence,12,26,0.032543
Valence,13,11,0.031616
Valence,14,25,0.031469
Valence,15,10,0.030701
Valence,16,24,0.030677
Valence,17,21,0.030592
Valence,18,17,0.030251
Valence,19,12,0.030033
Valence,20,7,0.030031
Valence,21,30,0.029879
Valence,22,14,0.029556
Valence,23,1,0.029503
Valence,24,9,0.029365
Valence,25,22,0.029293
Valence,26,16,0.029191
Valence,27,8,0.029028
Valence,28,20,0.028888
Valence,29,6,0.028864
Valence,30,2,0.028598
Valence,31,27,0.027736
Valence,32,4,0.027626
Arousal,1,28,0.039807
Arousal,2,12,0.03847
Arousal,3,6,0.036971
Arousal,4,18,0.034873
Arousal,5,29,0.034694
Arousal,6,5,0.033746
Arousal,7,16,0.033602
Arousal,8,17,0.033491
Arousal,9,30,0.032643
Arousal,10,13,0.032251
Arousal,11,7,0.032221
Arousal,12,22,0.032006
Arousal,13,10,0.031585
Arousal,14,19,0.031557
Arousal,15,0,0.031377
Arousal,16,3,0.031222
Arousal,17,27,0.031104
Arousal,18,11,0.031004
Arousal,19,14,0.030719
Arousal,20,8,0.030379
Arousal,21,4,0.029854
Arousal,22,2,0.029627
Arousal,23,9,0.029067
Arousal,24,20,0.028881
Arousal,25,25,0.028766
Arousal,26,21,0.027951
Arousal,27,26,0.027869
Arousal,28,24,0.027637
Arousal,29,1,0.027334
Arousal,30,15,0.026992
Arousal,31,31,0.026733
Arousal,32,23,0.025567
Dominance,1,22,0.049649
Dominance,2,16,0.04162
Dominance,3,0,0.038679
Dominance,4,5,0.034112
Dominance,5,9,0.033432
Dominance,6,26,0.032612
Dominance,7,13,0.032336
Dominance,8,11,0.031609
Dominance,9,28,0.031419
Dominance,10,23,0.03123
Dominance,11,3,0.030833
Dominance,12,15,0.03057
Dominance,13,25,0.030546
Dominance,14,17,0.030486
Dominance,15,10,0.030484
Dominance,16,19,0.03011
Dominance,17,21,0.029794
Dominance,18,18,0.029743
Dominance,19,8,0.029724
Dominance,20,31,0.029699
Dominance,21,1,0.029352
Dominance,22,27,0.029181
Dominance,23,4,0.029167
Dominance,24,30,0.028803
Dominance,25,20,0.028602
Dominance,26,6,0.028461
Dominance,27,7,0.028293
Dominance,28,29,0.028232
Dominance,29,14,0.028083
Dominance,30,2,0.027994
Dominance,31,24,0.027988
Dominance,32,12,0.027157
Liking,1,10,0.047181
Liking,2,16,0.03718
Liking,3,0,0.037104
Liking,4,31,0.035936
Liking,5,30,0.034269
Liking,6,22,0.033935
Liking,7,18,0.0338
Liking,8,14,0.032421
Liking,9,7,0.032381
Liking,10,29,0.032296
Liking,11,24,0.031218
Liking,12,17,0.031017
Liking,13,5,0.030984
Liking,14,8,0.030487
Liking,15,26,0.030463
Liking,16,23,0.030444
Liking,17,28,0.030319
Liking,18,13,0.030284
Liking,19,11,0.029986
Liking,20,20,0.029607
Liking,21,15,0.029372
Liking,22,25,0.029256
Liking,23,19,0.029247
Liking,24,21,0.028824
Liking,25,1,0.028779
Liking,26,27,0.028669
Liking,27,3,0.028359
Liking,28,6,0.028115
Liking,29,2,0.027826
Liking,30,9,0.027448
Liking,31,4,0.026786
Liking,32,12,0.026008
