Emotion,Configuration,Channels,Num Features,Channel Indices,Accuracy,Balanced Accuracy,Precision,Recall,F1-Score,ROC-AUC,Val Accuracy,Val Balanced Accuracy,Val Precision,Val Recall,Val F1-Score,Val ROC-AUC,CV Mean,CV Std
Valence,Top-32,32,64,"[5, 15, 13, 23, 29, 3, 19, 28, 0, 18, 31, 26, 11, 25, 10, 24, 21, 17, 12, 7, 30, 14, 1, 9, 22, 16, 8, 20, 6, 2, 27, 4]",0.5679,0.5499,0.559,0.8649,0.679,0.5901,0.545,0.5,0.6,0.725,0.6566,0.4937,0.5262,0.0329
Valence,Top-16,16,32,"[5, 15, 13, 23, 29, 3, 19, 28, 0, 18, 31, 26, 11, 25, 10, 24]",0.5679,0.5462,0.5547,0.9257,0.6937,0.6046,0.55,0.5062,0.6042,0.725,0.6591,0.5108,0.5262,0.0443
Valence,Top-8,8,16,"[5, 15, 13, 23, 29, 3, 19, 28]",0.5143,0.4922,0.5242,0.8784,0.6566,0.4794,0.515,0.4792,0.5852,0.6583,0.6196,0.4662,0.4963,0.0255
Valence,Top-4,4,8,"[5, 15, 13, 23]",0.4786,0.4601,0.5043,0.7838,0.6138,0.4885,0.475,0.4583,0.5652,0.5417,0.5532,0.4987,0.5038,0.0406
Arousal,Top-32,32,64,"[28, 12, 6, 18, 29, 5, 16, 17, 30, 13, 7, 22, 10, 19, 0, 3, 27, 11, 14, 8, 4, 2, 9, 20, 25, 21, 26, 24, 1, 15, 31, 23]",0.5,0.4813,0.55,0.6266,0.5858,0.463,0.565,0.4943,0.6714,0.6963,0.6836,0.5384,0.5137,0.0801
Arousal,Top-16,16,32,"[28, 12, 6, 18, 29, 5, 16, 17, 30, 13, 7, 22, 10, 19, 0, 3]",0.5143,0.5015,0.5655,0.6013,0.5828,0.4767,0.66,0.5846,0.7248,0.8,0.7606,0.5978,0.5337,0.0795
Arousal,Top-8,8,16,"[28, 12, 6, 18, 29, 5, 16, 17]",0.4964,0.4875,0.5535,0.557,0.5552,0.4685,0.61,0.5516,0.708,0.7185,0.7132,0.556,0.5912,0.0653
Arousal,Top-4,4,8,"[28, 12, 6, 18]",0.4714,0.4588,0.5301,0.557,0.5432,0.4544,0.605,0.5199,0.6867,0.763,0.7228,0.5257,0.5737,0.0437
Dominance,Top-32,32,64,"[22, 16, 0, 5, 9, 26, 13, 11, 28, 23, 3, 15, 25, 17, 10, 19, 21, 18, 8, 31, 1, 27, 4, 30, 20, 6, 7, 29, 14, 2, 24, 12]",0.5929,0.4954,0.619,0.8966,0.7324,0.4273,0.625,0.5098,0.65,0.907,0.7573,0.4835,0.5725,0.0502
Dominance,Top-16,16,32,"[22, 16, 0, 5, 9, 26, 13, 11, 28, 23, 3, 15, 25, 17, 10, 19]",0.5571,0.4575,0.5992,0.8678,0.7089,0.4868,0.58,0.4908,0.6398,0.7984,0.7103,0.4666,0.54,0.0447
Dominance,Top-8,8,16,"[22, 16, 0, 5, 9, 26, 13, 11]",0.5286,0.4419,0.589,0.7989,0.678,0.3685,0.52,0.4664,0.6222,0.6512,0.6364,0.4297,0.5475,0.047
Dominance,Top-4,4,8,"[22, 16, 0, 5]",0.5036,0.4494,0.5879,0.6724,0.6273,0.3671,0.515,0.4562,0.6159,0.6589,0.6367,0.4485,0.5413,0.0648
Liking,Top-32,32,64,"[10, 16, 0, 31, 30, 22, 18, 14, 7, 29, 24, 17, 5, 8, 26, 23, 28, 13, 11, 20, 15, 25, 19, 21, 1, 27, 3, 6, 2, 9, 4, 12]",0.6357,0.5,0.6357,1.0,0.7773,0.4474,0.71,0.5,0.71,1.0,0.8304,0.4742,0.6587,0.0656
Liking,Top-16,16,32,"[10, 16, 0, 31, 30, 22, 18, 14, 7, 29, 24, 17, 5, 8, 26, 23]",0.6286,0.4944,0.6331,0.9888,0.7719,0.5611,0.695,0.4894,0.7056,0.9789,0.8201,0.5417,0.6562,0.071
Liking,Top-8,8,16,"[10, 16, 0, 31, 30, 22, 18, 14]",0.6214,0.4909,0.6314,0.9719,0.7655,0.5358,0.675,0.4805,0.7016,0.9437,0.8048,0.5118,0.665,0.0543
Liking,Top-4,4,8,"[10, 16, 0, 31]",0.6071,0.4943,0.6328,0.9101,0.7465,0.5047,0.705,0.522,0.7196,0.9577,0.8218,0.577,0.6413,0.0591
